oa11cd,x,y
E00004428,526596.0,185559.0
E00004164,527247.0,184337.0
E00004400,527854.0,185408.0
E00004165,527038.0,184320.0
E00174672,527452.0,185384.0
E00004557,531315.0,181670.0
E00004758,529199.0,183130.0
E00004181,530239.0,182214.0
E00004713,528844.0,183059.0
E00004461,528090.0,184672.0
E00004628,525758.0,183963.0
E00004459,528175.0,184780.0
E00174673,527424.0,185373.0
E00004728,529848.0,182874.0
E00004464,528342.0,184572.0
E00004139,527632.0,184744.0
E00174676,529997.0,182299.0
E00004645,525692.0,183625.0
E00004371,528274.0,185235.0
E00004735,529554.0,184205.0
E00004190,530098.0,182163.0
E00004268,529480.436,184851.385
E00004358,525504.492,185567.831
E00004269,529074.458,184846.08
E00004359,525825.681,185760.888
E00004446,527980.002,184967.791
E00004536,531356.453,181982.983
E00004447,527746.801,185071.175
E00004537,530646.678,182084.237
E00004534,531093.725,182146.182
E00004445,528272.314,184994.689
E00004535,530335.108,181984.0
E00004442,527863.102,184994.298
E00004532,530747.45,182188.034
E00004530,529933.62,181101.22
E00004440,526919.983,185117.038
E00004531,530881.452,182303.228
E00004441,528020.257,185082.412
E00004448,528101.46,184973.18
E00004538,530971.31,182103.796
E00004539,531131.336,182036.12
E00004852,525052.581,185130.401
E00004626,526315.774,183958.199
E00004716,529169.392,182973.786
E00004797,526448.79,184480.389
E00004850,525583.52,185229.906
E00004627,526144.391,183954.301
E00004717,528870.599,182967.214
E00004796,526288.558,184424.74
E00004851,525281.865,185171.287
E00004624,525530.501,183943.082
E00004714,528765.903,183117.102
E00004795,526037.68,184442.162
E00004625,526264.927,184059.014
E00004715,528954.809,183048.993
E00004794,526485.835,184299.331
E00004622,525371.162,184124.749
E00004712,528639.441,183376.472
E00004793,525841.301,184471.221
E00004623,525307.48,184063.287
E00004792,525980.356,184549.068
E00004620,525143.327,184145.907
E00004710,529080.079,183207.911
E00004791,526087.975,184561.016
E00004711,528927.397,183386.837
E00004790,526186.671,184523.478
E00004718,529069.064,182976.891
E00004799,526187.96,184430.968
E00004629,525608.371,183905.625
E00004719,528978.245,182936.955
E00004798,526015.889,184342.805
E00004366,528055.642,185332.93
E00004187,529088.927,182172.415
E00004367,527529.813,185353.801
E00004185,529181.212,182228.154
E00004365,527459.74,185494.836
E00004184,530053.07,182284.643
E00004362,528185.142,185436.457
E00004183,530129.538,182285.576
E00004363,527946.619,185257.893
E00004182,530089.276,182349.662
E00004360,525818.945,185436.987
E00004361,526434.925,185506.851
E00004180,530151.889,182369.602
E00004368,527494.094,185115.538
E00004189,529288.044,182097.928
E00004369,527796.195,185355.375
E00004188,529385.985,182137.007
E00004236,529195.158,183847.044
E00004546,530686.098,181708.837
E00004237,529017.479,183928.339
E00004547,531336.578,181711.96
E00004234,528271.517,183921.628
E00004544,530550.483,181951.345
E00004235,528758.25,183888.794
E00004545,531105.581,181960.597
E00004232,527947.759,183936.953
E00004542,531240.152,181928.054
E00004233,528124.74,183925.791
E00004543,530629.334,182005.844
E00004230,529178.077,184008.243
E00004540,530681.052,182121.976
E00004231,528189.804,184010.262
E00004541,531024.976,182024.728
E00004238,528470.742,183830.771
E00004548,530692.947,181953.34
E00004239,528195.167,183890.769
E00004416,527345.02,185872.154
E00004497,528860.846,186882.422
E00004676,530047.37,182618.133
E00004726,529522.553,182962.105
E00004417,526654.312,185802.54
E00004496,528001.064,186700.968
E00004677,530586.1,182614.431
E00004727,529746.095,182945.456
E00004414,527583.479,185876.703
E00004495,528253.703,187136.498
E00004674,530245.966,182597.433
E00004724,529770.05,182782.826
E00004415,526415.243,185850.438
E00004494,528369.655,187342.996
E00004675,530722.264,182626.154
E00004725,529213.084,183071.736
E00004412,527491.835,185965.842
E00004493,528463.861,186868.563
E00004672,530176.124,182665.917
E00004722,529182.38,182869.066
E00004413,526435.161,185960.594
E00004492,527981.93,187295.974
E00004673,530341.154,182667.26
E00004723,529798.437,183099.896
E00004410,526534.682,186006.989
E00004491,528655.579,185625.52
E00004670,530386.213,182682.85
E00004720,528876.56,182899.431
E00004411,527407.339,185946.238
E00004490,528654.81,185804.697
E00004671,530816.645,182584.504
E00004721,529105.917,182836.523
E00004418,527527.494,185786.244
E00004499,528223.273,186810.361
E00004678,530477.684,182569.786
E00004419,526401.438,185732.048
E00004498,528845.434,186727.327
E00004679,530341.765,182554.99
E00004729,529726.299,182821.769
E00004156,527005.513,184568.59
E00004157,527293.894,184401.11
E00004154,526775.523,184461.189
E00004152,527177.538,184607.482
E00004153,527468.05,184477.928
E00004150,526909.213,184591.187
E00174652,529624.69,181907.341
E00174678,526610.991,184283.248
E00174670,527435.464,185440.621
E00174653,529569.896,182039.834
E00174660,530893.624,182421.606
E00004158,527610.15,184436.077
E00174675,530813.605,182009.029
E00004159,527369.012,184400.0
E00174677,526857.225,184223.182
E00174666,529462.824,183940.484
E00004336,526216.109,185011.841
E00004246,529404.308,184524.16
E00174674,530942.683,182025.032
E00004337,526594.93,185046.551
E00004247,529165.813,184478.843
E00004334,526429.656,184860.701
E00004244,529927.84,184213.922
E00004335,526818.612,184897.465
E00004245,529264.981,184663.904
E00004332,526551.724,184814.829
E00004333,526791.583,184981.125
E00004243,528647.014,183861.637
E00004330,526297.374,185141.978
E00004240,529084.258,183852.41
E00004331,526149.064,185129.902
E00004241,528364.587,183762.118
E00004338,526615.66,184853.185
E00004248,529031.813,184487.541
