oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00004120,5,3,5,4,5,7,7,10,11,6,8,3,2,3,2,5,0,1,2,0,4,1,1,3,0,4,4,5,7,3,7,6,7,7,10,6,5,6,12,13,8,8,9,5,5,4,2,5,5,7,3,3,6,4,3,7,4,3,3,4,3,0,6,5,5,3,5,5,5,7,9,4,4,2,2,4,3,2,1,1,3,2,1,3,2,0,0,0,0,0,3
E00004140,4,2,1,6,3,2,2,0,0,1,0,1,3,0,4,2,0,0,2,0,3,1,0,1,1,1,1,3,3,3,9,4,1,5,4,3,6,3,4,5,6,7,4,3,2,4,5,3,4,2,1,7,2,1,2,4,4,3,2,3,5,3,2,3,0,4,3,1,3,2,1,1,3,0,1,2,1,3,0,2,0,0,1,0,0,2,2,0,0,1,3
E00004141,0,1,4,3,1,2,2,2,4,1,3,3,0,1,2,0,3,0,2,0,0,2,0,1,1,0,3,2,2,0,2,8,4,4,3,2,2,3,3,4,7,5,1,5,5,3,5,2,5,6,3,4,4,2,5,6,3,2,4,4,5,5,4,2,0,2,0,5,1,2,2,5,6,8,2,5,3,0,0,3,4,5,0,1,0,4,2,0,0,0,2
E00004142,3,5,5,2,5,5,3,0,5,0,0,6,3,1,2,2,1,2,0,0,0,0,0,2,0,7,1,2,3,5,7,6,6,5,6,6,8,4,5,3,9,4,3,7,11,9,4,2,2,1,2,3,0,4,0,2,1,7,0,5,4,3,3,1,2,2,2,1,3,0,3,2,3,6,4,1,3,4,5,0,1,1,0,0,2,1,0,1,0,0,0
E00004145,2,4,0,1,2,10,3,4,5,7,3,1,2,4,3,2,1,2,2,2,3,2,1,3,7,8,4,8,8,3,12,4,9,9,9,4,8,8,10,9,9,12,6,9,2,3,9,7,9,10,6,1,2,3,3,3,2,4,1,4,8,6,4,3,2,2,4,2,2,4,7,1,1,0,0,4,1,5,0,1,4,3,2,3,1,1,0,0,0,0,0
E00004152,4,1,6,3,3,2,1,5,3,2,5,0,1,2,1,5,2,1,1,1,0,3,2,2,3,5,4,3,3,2,1,5,4,6,5,4,3,5,6,6,5,2,0,6,9,1,9,2,5,8,3,3,5,6,4,6,4,2,0,3,7,2,3,0,2,5,3,5,3,3,4,2,8,2,5,4,1,2,2,0,3,1,0,1,0,5,0,1,3,3,6
E00004134,3,3,4,5,0,4,2,4,4,1,1,1,1,0,1,3,1,0,1,0,2,1,0,5,0,3,4,9,2,3,2,3,4,5,2,7,4,6,7,5,4,7,6,9,1,2,2,0,3,4,7,6,0,2,5,1,2,2,0,0,2,2,2,3,1,0,2,4,5,3,1,1,1,1,2,2,0,3,3,1,1,0,0,2,1,0,3,2,1,0,3
E00004136,1,4,1,1,3,0,2,4,5,4,6,6,6,2,5,3,1,4,2,0,2,1,0,2,2,5,3,6,5,9,5,6,11,11,7,6,8,7,6,3,3,5,10,11,5,5,4,3,7,8,2,7,7,5,6,4,2,3,3,3,3,3,2,1,1,1,3,3,1,1,4,0,0,5,2,0,0,0,2,1,2,2,0,2,1,0,0,1,0,0,0
E00004138,2,1,0,5,1,0,4,2,1,8,2,2,1,0,1,2,1,1,0,3,0,2,1,2,0,1,0,2,5,3,4,2,4,8,5,4,8,8,8,2,3,5,3,2,3,5,2,3,3,7,2,3,0,2,1,0,1,4,3,2,3,4,8,5,8,5,7,4,2,2,4,3,6,2,3,8,1,2,2,4,1,4,3,0,1,2,0,1,0,1,1
E00004139,22,22,21,14,10,9,16,19,11,9,2,5,2,5,1,1,1,2,0,1,2,4,2,5,2,4,8,5,5,9,8,7,7,7,3,11,3,7,3,1,2,6,5,1,2,6,3,1,2,2,0,1,4,0,1,2,1,0,2,0,2,2,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004144,5,4,10,5,8,12,10,7,9,6,6,6,1,1,0,0,1,2,2,0,4,3,1,0,1,2,1,4,2,2,1,11,2,2,7,6,9,7,7,7,5,6,6,9,12,6,6,5,3,3,2,7,7,5,1,3,1,3,0,3,0,1,1,0,0,0,2,3,2,4,2,5,4,4,5,4,0,0,0,2,0,0,3,0,0,1,2,0,0,1,1
E00004146,2,4,3,4,1,2,2,3,4,6,1,1,0,3,1,1,0,0,0,2,0,1,0,1,4,3,5,4,13,7,6,6,8,7,10,4,9,13,7,9,3,6,5,7,7,8,1,3,7,2,5,1,1,0,4,3,5,4,6,1,0,6,8,4,3,0,5,2,4,2,2,0,1,2,1,1,0,3,0,2,1,2,1,0,0,0,0,2,0,0,2
E00004147,4,0,5,4,2,0,2,1,0,3,0,1,0,2,1,3,1,1,3,1,1,2,3,0,5,6,3,7,11,7,6,6,12,6,5,8,6,5,5,12,5,4,3,1,9,2,2,2,4,2,5,4,1,1,2,3,5,4,5,3,1,7,0,1,5,2,0,0,0,2,2,2,1,3,0,2,3,1,1,4,3,0,0,0,3,0,0,2,0,0,2
E00004121,2,1,3,3,6,3,3,3,5,6,5,7,7,5,11,3,3,2,0,0,1,1,1,0,2,1,2,0,3,3,7,4,6,5,9,7,7,5,6,5,2,4,2,4,6,9,2,5,2,5,2,4,3,6,5,1,1,2,2,1,3,1,3,0,2,3,0,5,2,4,2,2,6,3,2,2,3,4,6,3,0,2,2,1,1,1,0,0,0,0,6
E00004143,1,12,6,1,4,6,3,3,9,1,4,4,4,4,4,1,1,2,1,1,1,3,2,2,1,2,5,4,0,1,10,10,5,9,5,8,4,4,6,7,9,5,3,5,10,5,8,7,3,12,2,6,7,0,4,4,2,3,0,2,6,2,3,2,2,0,2,0,5,3,0,5,0,2,3,1,3,0,0,1,2,1,1,0,0,0,0,1,0,0,2
E00004150,2,3,10,14,14,9,6,4,1,6,2,0,3,0,1,0,2,0,0,2,3,3,2,2,4,2,6,2,6,4,8,10,11,11,7,10,13,9,10,12,7,5,7,4,7,10,7,1,6,5,1,2,3,4,0,6,2,2,2,5,1,3,2,3,1,0,1,0,1,0,0,2,5,3,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
