oa11cd,population
E00004120,388
E00004140,212
E00004141,239
E00004142,260
E00004145,365
E00004152,290
E00004134,228
E00004136,309
E00004138,257
E00004139,327
E00004144,314
E00004146,290
E00004147,264
E00004121,290
E00004143,305
E00004150,328
E00004154,350
E00004155,339
E00004156,251
E00004162,266
E00004148,191
E00004149,384
E00004151,309
E00004153,259
E00004158,424
E00004161,282
E00004157,281
E00004159,487
E00004160,256
E00004164,409
E00004167,316
E00004122,294
E00004123,333
E00004163,459
E00004165,444
E00004166,479
E00004126,383
E00004128,447
E00004129,380
E00004131,337
E00004132,240
E00004137,318
E00004124,184
E00004125,382
E00004127,311
E00004130,294
E00004133,321
E00004135,188
E00004168,272
E00004172,227
E00004193,1192
E00004195,266
E00004196,203
E00004199,365
E00004187,440
E00004194,311
E00004198,299
E00004200,210
E00174650,391
E00174651,908
E00004173,795
E00004177,501
E00004184,217
E00174655,298
E00174676,226
E00004175,300
E00004179,366
E00004180,291
E00004181,409
E00004182,202
E00004183,199
E00004174,246
E00004185,371
E00004188,152
E00004189,419
E00174652,118
E00174653,730
E00004169,349
E00004190,348
E00004197,259
E00174659,353
E00174662,51
E00174663,234
E00174664,153
E00004207,414
E00004210,367
E00004211,292
E00004212,356
E00004223,479
E00004215,311
E00004218,366
E00004220,169
E00004221,224
E00004222,224
E00004226,354
E00004206,375
E00004208,384
E00004209,296
E00004213,549
E00004214,565
E00004216,329
E00004217,337
E00004224,337
E00004228,207
E00004231,343
E00004233,225
E00004201,287
E00004202,200
E00004227,334
E00004232,227
E00004239,256
E00004242,134
E00004219,447
E00004230,328
E00004236,319
E00004237,264
E00004240,389
E00004204,323
E00004229,361
E00004234,261
E00004238,298
E00004241,348
E00004243,261
E00004203,327
E00004205,405
E00004225,707
E00004235,478
E00004249,257
E00004252,290
E00004255,373
E00004258,315
E00004279,315
E00004281,320
E00004246,903
E00004250,393
E00004251,300
E00004280,293
E00004245,356
E00004247,970
E00004248,452
E00004254,310
E00004273,425
E00004276,302
E00004253,516
E00004256,455
E00004259,353
E00004261,350
E00004264,405
E00004244,337
E00004257,298
E00004260,394
E00004262,426
E00004263,402
E00004270,599
E00004271,436
E00004275,227
E00004277,256
E00004278,262
E00174656,207
E00174657,302
E00174658,177
E00004265,286
E00004266,392
E00004268,354
E00004269,240
E00004272,315
E00004274,311
E00004295,513
E00004296,506
E00004298,357
E00004303,333
E00004311,358
E00004300,359
E00004301,657
E00004302,319
E00004314,372
E00004316,214
E00004319,317
E00004307,461
E00004308,299
E00004312,318
E00004317,452
E00004318,363
E00004305,451
E00004306,370
E00004310,377
E00004313,338
E00004315,373
E00004282,323
E00004284,300
E00004286,336
E00004287,384
E00004289,248
E00004290,348
E00004283,289
E00004288,311
E00004291,445
E00004292,445
E00004293,303
E00004294,436
E00004285,353
E00004297,335
E00004299,379
E00004304,467
E00004309,352
E00004323,627
E00004328,440
E00004353,446
E00004354,330
E00004358,537
E00004324,349
E00004325,310
E00004330,404
E00004355,374
E00004361,308
E00004327,412
E00004329,419
E00004356,337
