oa11cd,workers
E00004120,72
E00004121,38
E00004122,38
E00004123,69
E00004124,22
E00004125,89
E00004126,158
E00004127,248
E00004128,89
E00004129,32
E00004130,49
E00004131,46
E00004132,32
E00004133,34
E00004134,51
E00004135,27
E00004136,32
E00004137,78
E00004138,31
E00004139,30
E00004140,81
E00004141,23
E00004142,36
E00004143,50
E00004144,34
E00004145,57
E00004146,49
E00004147,94
E00004148,44
E00004149,154
E00004150,125
E00004151,168
E00004152,65
E00004153,85
E00004154,265
E00004155,48
E00004156,59
E00004157,39
E00004158,53
E00004159,23
E00004160,53
E00004161,28
E00004162,74
E00004163,155
E00004164,42
E00004165,25
E00004166,126
E00004167,60
E00004168,148
E00004169,1146
E00004172,3614
E00004173,2454
E00004174,5352
E00004175,67
E00004177,541
E00004179,413
E00004180,307
E00004181,248
E00004182,68
E00004183,21
E00004184,22
E00004185,3781
E00004187,1556
E00004188,160
E00004189,2730
E00004190,85
E00004193,931
E00004194,441
E00004195,4697
E00004196,22
E00004197,1675
E00004198,3315
E00004199,2475
E00004200,1078
E00004201,40
E00004202,6
E00004203,501
E00004204,213
E00004205,740
E00004206,37
E00004207,75
E00004208,31
E00004209,257
E00004210,97
E00004211,272
E00004212,116
E00004213,552
E00004214,558
E00004215,204
E00004216,84
E00004217,324
E00004218,30
E00004219,365
E00004220,31
E00004221,63
E00004222,35
E00004223,924
E00004224,654
E00004225,2061
E00004226,139
E00004227,63
E00004228,130
E00004229,2189
E00004230,248
E00004231,289
E00004232,30
E00004233,61
E00004234,247
E00004235,907
E00004236,316
E00004237,109
E00004238,351
E00004239,112
E00004240,1094
E00004241,107
E00004242,24
E00004243,247
E00004244,23
E00004245,215
E00004246,337
E00004247,237
E00004248,424
E00004249,23
E00004250,57
E00004251,89
E00004252,45
E00004253,227
E00004254,17
E00004255,45
E00004256,40
E00004257,63
E00004258,87
E00004259,16
E00004260,39
E00004261,16
E00004262,16
E00004263,49
E00004264,315
E00004265,69
E00004266,195
E00004268,32
E00004269,74
E00004270,181
E00004271,100
E00004272,49
E00004273,235
E00004274,61
E00004275,39
E00004276,33
E00004277,49
E00004278,34
E00004279,64
E00004280,104
E00004281,30
E00004282,36
E00004283,38
E00004284,28
E00004285,39
E00004286,68
E00004287,59
E00004288,45
E00004289,30
E00004290,53
E00004291,50
E00004292,17
E00004293,22
E00004294,184
E00004295,102
E00004296,36
E00004297,231
E00004298,256
E00004299,28
E00004300,30
E00004301,184
E00004302,37
E00004303,66
E00004304,129
E00004305,81
E00004306,39
E00004307,62
E00004308,45
E00004309,153
E00004310,62
E00004311,23
E00004312,27
E00004313,65
E00004314,39
E00004315,125
E00004316,34
E00004317,249
E00004318,57
E00004319,65
E00004320,104
E00004321,174
E00004322,64
E00004323,109
E00004324,380
E00004325,99
E00004326,99
E00004327,85
E00004328,54
E00004329,79
E00004330,44
E00004331,49
E00004332,196
E00004333,111
E00004334,83
E00004335,158
E00004336,352
E00004337,46
E00004338,590
E00004339,489
E00004340,147
E00004341,39
E00004342,32
E00004343,56
E00004344,174
E00004345,65
E00004346,73
E00004347,47
E00004348,41
E00004349,50
E00004350,46
E00004351,117
E00004352,80
E00004353,26
E00004354,50
E00004355,193
E00004356,66
E00004357,59
E00004358,48
E00004359,72
E00004360,36
E00004361,138
E00004362,136
E00004363,110
E00004364,144
E00004365,235
E00004366,9
E00004367,34
E00004368,79
